repository,total_loc,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,repository_full_name,popularidade_estrelas,atividade_releases,maturidade_anos
--,338075,3.541921483527323,2.0,7.169477608041471,2.910830538567765,2.0,52.98472567983801,440.4263168277767,0.0,5564.68593074571,981011512/--,4612,0,5.23
1brc,53431,3.1666666666666665,3.0,2.475028315830446,1.09,1.0,0.3814128904328141,7.58,1.0,23.526923446939044,gunnarmorling/1brc,7397,0,1.71
ActionBarSherlock,26463,6.283372365339578,4.0,7.111240844390946,1.9508196721311477,1.0,1.5654479425495935,63.39812646370024,0.0,264.2789122700864,JakeWharton/ActionBarSherlock,7076,32,14.52
ActiveAndroid,3158,5.435483870967742,3.0,5.541559725227201,1.7419354838709675,1.0,1.0232619630132658,22.080645161290324,3.0,80.10757079039158,pardom-zz/ActiveAndroid,4680,0,12.82
Activiti,155578,5.8018784854710885,4.0,8.607601346075988,1.5309656589374816,1.0,0.9018938648463432,89.4109186968007,1.0,1571.6567744425472,Activiti/Activiti,10424,1000,12.99
advanced-java,5,0.0,0.0,,1.0,1.0,,0.0,0.0,,doocs/advanced-java,78224,1,6.93
Aegis,24021,7.447136563876652,5.0,9.508707671600709,1.709251101321586,1.0,1.0203461575268462,22.865638766519822,1.0,141.9374516656991,beemdevelopment/Aegis,11099,72,9.07
aeron,122621,7.826351865955826,4.0,9.987202490510636,1.2985529322162983,1.0,0.9135527883388652,113.62680883472964,0.0,1254.9745178688893,aeron-io/aeron,8089,126,11.59
AgentWeb,11320,5.3984375,3.0,7.348298289066527,1.48828125,1.0,0.9979682177932774,18.79296875,0.0,99.1625329969321,Justson/AgentWeb,9351,21,8.33
agera,10897,6.327586206896552,4.0,6.685696996308813,1.2413793103448276,1.0,0.5362417219366128,14.844827586206897,0.0,106.49473267415816,google/agera,7168,16,9.74
ahbottomnavigation,2339,5.108695652173913,2.0,7.540198231610404,1.173913043478261,1.0,0.3832230465168327,57.47826086956522,0.0,313.3104771188857,aurelhubert/ahbottomnavigation,3829,14,9.49
akhq,17372,8.20327868852459,6.0,7.888073259114432,1.2918032786885243,1.0,0.5288689153225758,29.00983606557377,0.0,147.83204119179834,tchiotludo/akhq,3647,42,7.0
AlgoDS,21217,1.3380281690140845,1.0,0.832073250881815,1.004225352112676,1.0,0.0649109615147554,1.4112676056338027,0.0,4.09993461352707,sherxon/AlgoDS,3433,0,8.74
Algorithms,32495,2.611231101511879,2.0,1.7910440969722103,1.0539956803455723,1.0,0.2262536407176913,16.19654427645788,3.0,38.50701612774521,williamfiset/Algorithms,18209,0,8.48
algs4,22522,4.003584229390681,4.0,2.50682264409731,1.021505376344086,1.0,0.1682641780180335,47.46953405017921,0.0,263.51807366407303,kevin-wayne/algs4,7503,0,10.03
Alink,475597,6.437721549932771,5.0,6.235825188860393,1.62657376848796,1.0,0.9997666514252432,34.70272582813837,0.0,236.7063460447356,alibaba/Alink,3609,22,6.95
allure2,8061,6.059479553903346,4.0,5.638701663019873,1.304832713754647,1.0,0.789397364780775,11.602230483271375,1.0,38.45643196118804,allure-framework/allure2,4849,80,9.29
alluxio,252449,6.906630245840576,5.0,8.367474419445127,1.4834864663521232,1.0,1.4852856576603604,30.658803079215296,1.0,238.1727484853604,Alluxio/alluxio,7068,61,12.72
AmazeFileManager,31851,7.304740406320541,4.0,10.724845350607607,1.4492099322799097,1.0,0.9881735328078012,28.839729119638825,0.0,166.9523438435609,TeamAmaze/AmazeFileManager,5757,66,11.16
