loc,cbo
24.0,1.0
17.0,7.0
12.0,4.0
13.0,5.0
19.5,3.5
58.0,2.0
30.0,6.0
16.0,4.0
10.0,4.0
13.0,6.0
15.0,5.0
15.0,3.0
11.0,4.0
12.0,2.0
13.0,1.0
7.0,3.0
31.0,4.0
26.0,4.0
12.5,1.0
16.0,4.0
33.5,7.5
11.0,4.0
24.0,5.0
23.0,1.5
16.5,3.0
24.0,5.0
6.0,2.0
14.0,3.5
15.0,3.0
20.0,3.0
8.0,3.0
25.0,3.0
10.0,2.0
20.0,5.0
13.0,4.0
8.0,6.0
8.0,2.0
18.0,5.0
6.0,2.0
26.0,2.0
41.0,7.0
24.0,4.0
13.0,6.0
8.5,3.0
17.0,6.0
8.0,3.0
16.0,5.0
15.0,5.0
13.0,2.0
43.0,5.0
8.0,3.0
19.0,5.0
13.0,4.0
48.0,4.0
11.0,3.0
24.0,4.0
18.0,4.0
11.0,2.0
25.0,3.0
12.0,3.0
12.0,3.0
12.0,4.0
27.0,4.0
16.0,3.0
21.0,4.0
23.0,4.0
8.0,2.0
18.0,3.0
16.0,3.0
20.0,4.0
21.0,2.0
18.0,4.0
39.0,5.0
26.0,5.0
18.0,6.0
16.0,2.0
26.0,4.0
31.0,5.0
19.0,2.0
9.0,3.0
18.5,4.0
17.0,5.0
11.0,2.0
16.0,2.0
15.5,3.0
8.0,4.0
10.0,3.0
37.0,2.5
13.0,3.0
18.0,3.0
37.0,4.0
7.0,2.0
14.0,6.0
23.0,3.0
11.0,4.0
13.5,4.5
12.0,4.0
28.0,3.0
15.0,4.0
15.0,5.0
32.0,6.0
13.0,3.0
20.5,2.0
19.0,3.0
21.0,4.0
24.0,2.0
18.0,5.0
14.0,4.0
14.5,3.0
14.0,4.0
13.5,3.0
42.5,3.0
28.0,3.0
14.0,3.0
14.0,3.0
18.0,5.0
19.0,2.0
34.0,3.0
6.0,3.0
10.0,2.0
25.0,3.0
14.0,3.0
15.0,4.0
39.0,2.0
13.0,2.0
18.0,3.0
5.0,0.0
7.0,2.0
23.0,4.0
5.0,2.0
13.5,5.0
21.0,4.0
18.0,4.0
15.0,6.0
21.0,4.0
10.0,2.0
21.0,5.0
5.0,2.0
11.0,4.0
11.0,3.0
13.0,2.0
27.0,5.0
13.0,8.0
8.0,6.0
17.0,4.0
9.0,3.0
40.0,5.0
10.0,2.0
20.0,4.0
8.0,2.0
14.5,3.0
13.0,3.0
9.0,3.0
16.0,3.0
18.0,4.0
32.0,5.0
14.0,2.0
17.0,4.0
23.5,4.0
13.5,2.0
17.0,5.0
23.5,5.0
6.0,2.0
17.0,5.0
15.0,4.0
18.0,2.0
16.0,3.0
11.0,4.0
11.0,5.0
27.0,9.0
15.0,3.0
30.0,3.0
27.0,5.0
18.0,5.0
6.0,0.0
3.0,0.0
13.0,2.0
11.0,4.0
13.0,3.0
10.0,5.0
14.0,5.0
23.0,6.0
20.0,3.0
14.0,3.0
11.0,2.0
16.0,6.0
11.0,3.0
14.0,3.0
32.0,4.0
24.0,3.0
11.0,6.0
17.0,3.0
22.0,1.0
51.0,7.0
22.0,4.0
8.5,2.0
11.0,2.0
16.0,3.0
14.0,6.0
10.0,3.0
13.5,3.0
14.0,2.0
29.0,5.0
24.0,6.0
9.0,2.0
18.0,4.0
23.0,2.0
23.0,4.0
11.0,3.0
17.0,2.0
27.0,4.0
13.0,2.0
12.0,3.0
8.0,2.0
5.0,0.0
19.0,5.0
19.0,2.0
21.0,5.0
18.0,5.0
31.0,8.0
5.0,4.0
23.0,4.0
17.0,2.0
21.5,4.0
19.0,3.0
19.0,3.0
12.0,3.0
23.0,3.0
30.0,3.0
23.0,2.0
6.0,1.0
12.0,3.0
14.0,2.0
41.0,3.0
4.0,2.0
15.0,3.0
7.0,1.0
15.0,4.0
23.0,4.0
13.0,3.0
16.0,5.0
15.0,5.0
12.0,3.0
18.0,3.0
43.0,3.0
38.0,3.0
66.0,3.0
18.0,2.0
8.0,2.0
11.0,4.0
16.0,3.0
9.0,3.0
18.0,2.0
19.5,4.0
7.0,2.0
20.0,3.0
12.5,3.0
22.0,4.0
22.0,6.0
21.5,2.5
31.0,4.0
11.0,4.0
209.0,9.0
22.0,3.0
6.0,3.0
33.0,5.0
23.0,3.0
57.0,4.0
20.0,5.0
13.0,3.0
16.0,4.0
24.0,5.0
22.0,3.0
9.0,5.0
22.0,1.0
13.0,4.0
13.0,4.0
12.0,1.0
21.0,3.0
13.0,3.0
16.0,11.0
29.0,5.0
14.5,4.0
18.0,3.0
13.5,2.5
13.0,5.0
23.0,5.0
16.0,3.0
5.0,1.5
12.0,3.0
14.0,5.0
25.0,4.0
24.0,3.0
30.0,5.0
23.0,5.0
16.5,2.0
11.5,2.0
26.0,4.0
32.0,6.0
28.0,5.0
19.0,4.0
11.0,3.0
23.0,5.0
30.0,2.0
21.5,2.0
27.0,8.0
28.0,5.0
29.0,4.0
16.0,2.0
60.0,3.0
21.0,5.0
12.0,5.0
13.5,2.0
10.0,2.0
8.0,3.0
20.0,3.0
5.0,0.0
24.0,5.0
16.0,5.0
8.0,3.0
26.0,7.0
13.0,4.0
25.0,3.0
34.0,4.0
14.5,4.0
8.0,2.0
15.5,2.0
36.0,6.0
27.0,3.0
14.0,2.0
13.0,2.0
22.0,5.0
40.0,2.0
26.5,4.0
23.0,6.0
8.0,3.0
26.0,2.0
13.0,3.0
18.5,1.0
25.0,1.0
34.0,6.0
9.0,3.0
17.5,4.0
12.0,4.0
20.5,4.0
21.0,6.0
18.0,5.0
8.0,3.0
19.0,5.0
22.0,4.0
19.0,4.0
29.0,7.0
20.0,4.5
21.0,4.0
19.0,5.0
28.0,3.0
12.0,3.0
19.0,1.0
13.0,4.0
36.5,4.0
27.0,5.0
21.0,4.0
13.0,3.0
13.0,4.0
24.0,3.0
11.5,2.0
16.0,3.0
20.0,4.0
5.0,3.0
24.0,4.0
138.0,7.5
26.0,3.0
13.5,2.0
11.0,3.0
9.0,2.0
10.0,5.0
14.0,5.0
12.0,5.0
14.0,3.0
15.0,4.0
19.0,3.0
5.0,4.0
21.0,2.0
16.0,2.0
21.0,4.0
15.0,7.0
41.5,2.0
23.5,3.0
13.0,4.0
30.0,5.0
10.0,3.0
13.0,4.0
5.0,1.0
26.0,5.0
21.0,4.0
11.0,4.0
16.0,3.0
19.5,5.0
14.0,3.0
21.0,3.0
