,,CBO (Mediana),DIT (Mediana),LCOM (Mediana),Popularidade,Maturidade,Atividade,LOC Total
Análise Geral,Todos,3.55,1.09,1.47,9275.65,9.63,38.82,85410.66
Maturidade (RQ02),Jovens,3.51,1.05,0.69,,,,
Maturidade (RQ02),Intermediários,3.48,1.1,2.2,,,,
Maturidade (RQ02),Maduros,3.64,1.12,1.52,,,,
Atividade (RQ03),Baixa,3.11,1.09,1.18,,,,
Atividade (RQ03),Moderada,3.44,1.1,2.54,,,,
Atividade (RQ03),Alta,4.09,1.07,0.78,,,,
Tamanho (RQ04),Pequenos,3.04,1.1,2.61,,,,
Tamanho (RQ04),Médios,3.54,1.06,0.55,,,,
Tamanho (RQ04),Grandes,4.04,1.11,1.26,,,,
